personal,Personal,Персонал,Personnel,persönlich,Personal,Personale
hirepersonal,Hire personal,Нанять работников,Embaucher personnel,Personal einstellen,Contratar personal,Noleggio personale
project,New project,Новый проект,Nouveau projet,Neues Projekt,Nuevo proyecto,Nuovo progetto
shop,Shop,Магазин,Boutique,Einkaufen,Tienda,Negozio
statistics,Statistics,Статистика,Statistiques,Statistiken,Estadísticas,Statistiche
offices,Offices,Офисы,Des bureaux,Büros,Oficinas,Uffici
mail,Mail,Почта,Courrier,Mail,Correo,posta
sort.name,Name,Имя,Nom,Name,Nombre,Nome
month.1,January,Январь,janvier,Januar,enero,gennaio
month.2,February,Февраль,février,Februar,febrero,febbraio
month.3,March,Март,Mars,März,marcha,marzo
month.4,April,Апрель,avril,April,abril,aprile
month.5,May,Май,Le Mai,Mai,Mayo,Maggio
month.6,June,Июнь,juin,Juni,junio,giugno
month.7,July,Июль,juillet,Juli,julio,luglio
month.8,August,Август,août,August,agosto,agosto
month.9,September,Сентябрь,septembre,September,septiembre,settembre
month.10,October,Октябрь,octobre,Oktober,octubre,ottobre
month.11,November,Ноябрь,novembre,November,noviembre,novembre
month.12,December,Декабрь,décembre,Dezember,diciembre,dicembre
proffesion,Profession,Профессия,Profession,Beruf,Profesión,Professione
proffesion.0,Programmer,Программист,Programmeur,Programmierer,Programador,Programmatore
proffesion.1,Game designer,Гейм дизайнер,Designer de jeu,Spieledesigner,Diseñador de juegos,Designer di giochi
proffesion.2,Art designer,Художник,Concepteur d'art,Kunstdesigner,Diseñador de arte,Designer d'arte
proffesion.3,Sound designer,Звукорежиссер,Sonneur,Sounddesigner,Diseñador de sonido,Sound Designer
proffesion.4,Screenwriter,Сценарист,Scénariste,Drehbuchautor,Guionista,Sceneggiatore
skill.0,Programming,Программирование,La programmation,Programmierung,Programación,Programmazione
skill.1,Game design,Игровой дизайн,Le design du jeu,Spieldesign,Diseño de juego,Design del gioco
skill.2,Art design,Арт дизайн,Conception d'art,Kunstdesign,Diseño artístico,Design artistico
skill.3,Sound design,Звуковой дизайн,Conception sonore,Audiogestaltung,Diseño de sonido,Design del suono
skill.4,Screenwriting,Сценарий,Scénarisation,Drehbuch,Escritura de guiones,Sceneggiatura
salary,Salary,Зарплата,Salaire,Gehalt,Salario,Stipendio
personaTab.0,Employees by profession,Сотрудники по профессии,Employés par profession,Mitarbeiter nach Beruf,Empleados por profesión,Dipendenti di professione
personaTab.1,Average skills,Средние навыки,Compétences moyennes,Durchschnittliche Fähigkeiten,Habilidades promedio,Abilità medie
personaTab.2,Total skills,Общие навыки,Compétences totales,Gesamtfähigkeiten,Total de habilidades,Abilità totali
all,All,Все,Tous,Alle,Todo,Tutto
applications,Applications,Заявления,Applications,Anwendungen,Aplicaciones,Applicazioni
shp.0,Aquarium,Аквариум,Aquarium,Aquarium,Acuario,Acquario
shp.1,Arcade machine,Аркадная машина,Arcade,Arcade-Maschine,Máquina arcade,Macchina arcade
shp.2,Billiards,Бильярд,Billard,Billard,Billar,Biliardo
shp.3,Bin,Корзина,Poubelle,Behälter,Papelera,Bidone
shp.4,Black armchair,Черное кресло,Fauteuil noir,Schwarzer Sessel,Sillón negro,Poltrona nera
shp.5,Black couch,Черный диван,Canapé noir,Schwarze Couch,Sofá negro,Divano nero
shp.6,White armchair,Белое кресло,Fauteuil blanc,Weißer Sessel,Sillón blanco,Poltrona bianca
shp.7,White couch,Белый диван,Canapé blanc,Weiße Couch,Sofá blanco,Divano bianco
shp.8,Big couch,Большой диван,Grand canapé,Große Couch,Sofá grande,Grande divano
shp.9,Cupboard,Шкаф,Placard métallique,Schrank,Armario,Armadio
shp.10,Metal cupboard,Металлический шкаф,Placard métallique,Metallschrank,Armario de metal,Armadio di metallo
shp.11,Mini football,Мини футбол,Mini football,Mini -Fußball,Mini fútbol,Mini calcio
shp.12,Fridge,Холодильник,Réfrigérateur,Kühlschrank,Refrigerador,Frigo
shp.13,Minigolf,Мини гольф,Mini golf,Minigolf,Mini golf,Mini golf
shp.14,Small plant,Небольшое растение,Petite plante,Kleine Pflanze,Planta pequeña,Piccola pianta
shp.15,Big plant,Большое растение,Grande plante,Große Pflanze,Gran planta,Grande pianta
shp.16,Mini garden,Мини посадки,Mini jardin,Mini -Garten,Mini jardín,Mini giardino
shp.17,Green pouf,Зеленый пуфик,Pouf vert,Grüner Pouf,Pouf verde,Pouf verde
shp.18,Blue pouf,Синий пуфик,Pouf bleu,Blauer Pouf,Pouf,Blue Pouf
shp.19,Big yellow pouf,Желтый пуфик,Big Pouf jaune,Big Yellow Pouf,Pouf amarillo grande,Grande pouf giallo
shp.20,Big red pouf,Красный пуфик,Big Pouf rouge,Big Red Pouf,Big Red Pouf,Big Red Pouf
shp.21,Vending machine,Торговый автомат,Distributeur automatique,Verkaufsautomat,Máquina expendedora,Distributore automatico
shp.22,Boiler,Бойлер,Chaudière,Kessel,Caldera,Caldaia
shp.23,Desktop,Рабочий стол,Bureau,Desktop,Escritorio,Desktop
shp.24,Wooden desktop,Рабочий стол 2,Bureau en bois,Holzdesktop,Escritorio de madera,Desktop in legno
shp.25,Metal desktop,Рабочий стол 3,Bureau en métal,Metalldesktop,Escritorio de metal,Desktop metallico
shp.26,Big desktop,Рабочий стол 4,Grand bureau,Großer Desktop,Escritorio grande,Grande desktop
shp.27,Proffesional desktop,Рабочий стол 5,Bureau de profession,Profemsionaler Desktop,Escritorio profesional,Desktop Profsionale
shp.28,Xerox,Ксерокс,Photocopier,Xerox,fotocopia,Xerox
buy,Buy,Купить,Acheter,Besorgen,Comprar,Acquistare
bought,Bought,Куплено,Acheté,Gekauft,Compró,Comprato
sell,Sell,Продать,Vendre,Verkaufen,Vender,Vendere
rent,Rent,Арендовать,Louer,Mieten,Alquilar,Affitto
rented,Rented,Арендован,Loué,Gemietet,Alquilado,Affittato
select,Select,Выбрать,Sélectionner,Wählen,Seleccionar,Selezionare
selected,Selected,Выбрано,Choisi,Ausgewählt,Seleccionado,Selezionato
autofurnish,Auto furnish,Авто мебель,Fourniture automatique,Autoeinrichtung,Muebles automáticos,Arredamento automatico
upgradeallpcs,Upgrade all pc's,Обновить все пк,Mettre à niveau tous les PC,Aktualisieren Sie alle PCs,Actualizar todas las PC,Aggiorna tutti i PC
soldfurniture,All your furniture will be sold.,Вся ваша мебель будет продана.,Tous vos meubles seront vendus.,Alle Ihre Möbel werden verkauft.,Todos sus muebles se venderán.,Tutti i tuoi mobili saranno venduti.
expenses,Expenses,Затраты,Dépenses,Kosten,Gastos,Spese
square,Square,Площадь,Carré,Quadrat,Cuadrado,Piazza
purchprice,Purchase price,Цена,Prix ​​d'achat,Kaufpreis,Precio de compra,Prezzo d'acquisto
rentprice,Rent price,Цена аренды,Prix ​​de loyer,Mietpreis,Precio de alquiler,Prezzo di affitto
office.0,Small room,Маленькая комната,Petite chambre,Kleiner Raum,Habitación pequeña,Stanza piccola
office.1,Garage,Гараж,Garage,Garage,Cochera,Box auto
office.2,Studio,Студия,Studio,Studio,Estudio,Studio
office.3,Apartments,Аппартаменты,Appartements,Wohnungen,Apartamentos,Appartamenti
office.4,Basement,Подвал,Sous-sol,Keller,Sótano,Seminterrato
office.5,Old office,Старый офис,Vieux bureau,Altes Büro,Oficina antigua,Vecchio ufficio
office.6,Industrial office,Промышленное офис,Bureau industriel,Industriebüro,Oficina industrial,Ufficio industriale
office.7,City office,Городской офис,Bureau de la ville,Stadtbüro,Oficina municipal,Ufficio della città
office.8,Modern office,Современный офис,Bureau moderne,Modernes Büro,Oficina moderna,Ufficio moderno
hire,Hire,Нанять,Louer,Mieten,Contratar,Assumere
fire,Fire,Уволить,Feu,Feuer,Fuego,Fuoco
assign,Assign,Назначить,Attribuer,Zuordnen,Asignar,Assegnare
assigned,Assigned,Назначен,Attribué,Zugewiesen,Asignado,Assegnato
happiness,Happiness,Счастье,Bonheur,Glück,Felicidad,Felicità
name,Name,Имя,Nom,Name,Nombre,Nome
newGame,New game,Новая игра,Nouveau jeu,Neues Spiel,Nuevo juego,Nuovo gioco
contract,Contract,Контракт,Contracter,Vertrag,Contrato,Contrarre
freelance,Freelance,Фриланс,Free-lance,Freiberuflich,Lanza libre,Libero professionista
update,Update,Обновление,Mise à jour,Aktualisieren,Actualizar,Aggiornamento
sequel,Sequel,Продолжение,Suite,Folge,Continuación,Continuazione
size,Size,Размер,Taille,Größe,Tamaño,Misurare
engine,Engine,Движок,Engine,Engine,Engine,Engine
genre,Genre,Жанр,Genre,Genre,Género,Genere
theme,Theme,Тема,Thème,Thema,Tema,Tema
mainplatform,Main platform,Основная платформа,Plate-forme principale,Hauptplattform,Plataforma principal,Piattaforma principale
platform,Platform,Платформа,Plateforme,Plattform,Plataforma,piattaforma
none,None,Остутсвует,Aucun,Keiner,Ninguno,Nessuno
start,Start,Начать,Commencer,Start,Comenzar,Inizio
continue,Continue,Продолжить,Continuer,Weitermachen,Continuar,Continua
cancel,Cancel,Отмена,Annuler,Abbrechen,Cancelar,Annulla
licenseprice,License price,Цена лицензии,Prix ​​de licence,Lizenzpreis,Precio de licencia,Prezzo di licenza
releasedate,Release date,Дата выпуска,Date de sortie,Veröffentlichungsdatum,Fecha de lanzamiento,Data di rilascio
computing,Computing,Вычисление,L'informatique,Computer,Informática,Calcolo
graphics,Graphics,Графика,Graphique,Grafik,Gráficos,Grafica
marketshare,Market share,Доля рынка,Part de marché,Marktanteil,Cuota de mercado,Quota di mercato
commision,Commision,Комиссия,Commission,Kommission,Comisión,Commissione
features,Features,Функции,Caractéristiques,Merkmale,Características,Caratteristiche
maingenre,Main genre,Главный жанр,Genre principal,Hauptgenre,Género principal,Genere principale
developmentspeed,Development speed,Скорость разработки,Vitesse de développement,Entwicklungsgeschwindigkeit,Velocidad de desarrollo,Velocità di sviluppo
findanother,Find another,Найти другой,Trouve un autre,Einen anderern finden,Encontrar otro,Trova un altro
payment,Payment,Оплата,Paiement,Zahlung,Pago,Pagamento
bonus,Bonus,Бонус,Prime,Bonus,Prima,Bonus
minuserscore,Min user rating,Мин пользовательский рейтинг,Note de l'utilisateur Min,Min Benutzerbewertung,Min calificación de usuario,Valutazione dell'utente min
term,Term,Срок,Terme,Begriff,Término,Termine
points,Points,Точки,Points,Punkte,Puntos,Punti
lpoints,points,точки,points,Punkte,puntos,punti
taskdifficulty,Task difficulty,Сложность задачи,Difficulté de tâche,Aufgabenschwierigkeit,Dificultad de tarea,Difficoltà del compito
diff.0,Easy,Лёгкая,Facile,Einfach,Fácil,Facile
diff.1,Normal,Средняя,Normal,Normal,Normal,Normale
diff.2,Hard,Трудная,Dur,Hart,Duro,Difficile
penalty,Penalty,Штраф,Peine,Strafe,Multa,Pena
game,Game,Игра,Jeu,Spiel,Juego,Gioco
updatesize,Update size,Размер обновления,Mettre à jour la taille,Aktualisierung der Größe,Tamaño de actualización,Dimensione dell'aggiornamento
feature.0,2D,2D,2D,2D,2D,2D
feature.1,3D,3D,3D,3D,3D,3D
feature.2,Simple plot,Простой сюжет,Terrain simple,Einfache Handlung,Trama simple,Trama semplice
feature.3,Elaborated plot,Проработанный сюжет,Complot élaboré,Ausgearbeitete Handlung,Trama elaborado,Trama elaborata
feature.4,Non linear plot,Не линейный сюжет,Terrain non linéaire,Nicht linearer Diagramm,Trama no lineal,Trama non lineare
feature.5,Simple dialogs,Простые диалоги,Dialogues simples,Einfache Dialoge,Diálogo simples,Dialoging semplici
feature.6,Elaborated dialogs,Проработанные диалоги,Dialogues élaborées,Ausgearbeitete Dialoge,Diálogo elaborados,Dialoghe elaborate
feature.7,Interactive dialogs,Интерактивные диалоги,Dialogues interactives,Interaktive Dialoge,Diálogo interactivo,Dialoghe interattive
feature.8,Neural networks usage,Использование нейронных сетей,Utilisation des réseaux de neurones,Nutzung der neuronalen Netze,Uso de redes neuronales,Utilizzo delle reti neurali
feature.9,Procedural world,Процедурный мир,Monde procédural,Verfahrenswelt,Mundo procesal,Mondo procedurale
feature.10,Open world,Открытый мир,Monde ouvert,Offene Welt,Mundo abierto,Mondo aperto
feature.11,Few characters,Несколько персонажей,Peu de personnages,Wenige Charaktere,Pocos personajes,Pochi personaggi
feature.12,Character editor,Редактор персонажей,Éditeur de personnage,Charakter Editor,Editor de personajes,Editor dei personaggi
feature.13,Simple AI,Простой ИИ,AI simple,Einfache Ai,IA simple,Semplice AI
feature.14,Complex AI,Сложный ИИ,AI complexe,Komplexe AI,AI complejo,AI complesso
feature.15,Self Learning AI,Самообучаемый ИИ,AI-apprentissage AI,Selbstlernen KI,Auto aprendizaje ai,Ai di autoapprendimento AI
feature.16,Simple economics,Простая экономика,Économie simple,Einfache Wirtschaft,Economía simple,Economia semplice
feature.17,Complex economics,Комплексная экономика,Économie complexe,Komplexe Ökonomie,Economía compleja,Economia complessa
feature.18,Simple physics,Простая физика,Physique simple,Einfache Physik,Física simple,Fisica semplice
feature.19,Realistic physics,Реалистичная физика,Physique réaliste,Realistische Physik,Física realista,Fisica realistica
feature.20,Side missions,Сайд миссии,Missions latérales,Seitenmissionen,Misiones laterales,Missioni secondarie
feature.21,Elaborated side missions,Проработанный сайд миссии,Missions secondaires élaborées,Ausgearbeitete Seitenmissionen,Misiones laterales elaboradas,Missioni secondarie elaborate
feature.22,Mods support,Поддержка модов,Prise en charge des mods,Mods Support,Soporte de mods,Supporto MODS
feature.23,Global mods support,Поддержка глобальных модов,Support mondial des mods,Globale Mods -Unterstützung,Soporte de modificaciones globales,Supporto MOD globali
feature.24,Cartoony,Мультяшнность,Cartoony,Cartoony,Dibujos animados,Cartone animato
feature.25,Photorealism,Фотореализм,Photoréalisme,Fotorealismus,Fotorrealismo,Fotorealismo
feature.26,Midi,Миди звук,Midi,Midi,Midi,Midi
feature.27,Simple music,Простая музыка,Musique simple,Einfache Musik,Música simple,Musica semplice
feature.28,Cult music,Культовая музыка,Musique culte,Kultmusik,Música de culto,Musica cult
feature.29,Simple animations,Простые анимации,Animations simples,Einfache Animationen,Animaciones simples,Animazioni semplici
feature.30,Dynamic animations,Динамическая анимация,Animations dynamiques,Dynamische Animationen,Animaciones dinámicas,Animazioni dinamiche
feature.31,Motion capture,Захват движения,Capture de mouvement,Bewegungsaufnahme,Captura de movimiento,Moto cattura
feature.32,Game cutscenes,Сделанные в игре кат сцены,Cinémas de jeu,Game Cutscenes,Escenas de juego,Scene di gioco
feature.33,Filmed cutscenes,Снятые кат сцены,Cinématiques filmées,Gefilmte Zwischensequenzen,Escenas filmadas,Filmati filmati
feature.34,Tutorial,Туториал,Didacticiel,Lernprogramm,Tutorial,Tutorial
feature.35,Interactive tutorial,Интерактивный туториал,Tutoriel interactif,Interaktives Tutorial,Tutorial interactivo,Tutorial interattivo
fg.0,Graphics,Графика,Graphique,Grafik,Gráficos,Grafica
fg.1,Plot,Сюжет,Parcelle,Parzelle,Trama,Complotto
fg.2,Dialogs,Диалоги,Dialogue,Dialoge,Diálogo,Dialoghi
fg.3,World,Мир,Monde,Welt,Mundo,Mondo
fg.4,Character,Персонаж,Personnage,Charakter,Personaje,Carattere
fg.5,AI,ИИ,AI,AI,AI,AI
fg.6,Economics,Экономика,Économie,Wirtschaft,Ciencias económicas,Economia
fg.7,Physics,Физика,La physique,Physik,Física,Fisica
fg.8,Side missions,Сайд миссии,Missions latérales,Seitenmissionen,Misiones laterales,Missioni secondarie
fg.9,Mods,Моды,Mods,Modifikationen,Modos,Mod
fg.10,Style,Стиль,Style,Stil,Estilo,Stile
fg.11,Sound,Звук,Son,Klang,Sonido,Suono
fg.12,Animations,Анимация,Animations,Animationen,Animaciones,Animazioni
fg.13,Cutscenes,Кат сцены,Cinémas,Zwischensequenzen,Escenas,Scene
fg.14,Tutorial,Туториал,Didacticiel,Lernprogramm,Tutorial,Tutorial
noneGraphics,Text,Текстовая,Texte,Text,Texto,Testo
noneWorld,corridor,Коридорный,couloir,Gang,corredor,corridoio
noneCharacter,One character,Один персонаж,Un personnage,Ein Charakter,Un personaje,Un personaggio
noneMods,Not supported,Не поддерживается,Non supporté,Nicht unterstützt,No soportado,Non supportato
noneStyle,Primitivism,Примитивизм,Primitivisme,Primitivismus,Primitivismo,Primitivismo
theme.0,Anime,Аниме,Anime,Anime,Anime,anime
theme.1,Interactive cinema,Интерактивное кино,Cinéma interactif,Interaktives Kino,Cine interactivo,Cinema interattivo
theme.2,Western,Вестерн,Occidental,Western,occidental,Occidentale
theme.3,Vampires,Вампиры,Vampires,Vampire,Vampiros,vampiri
theme.4,Aliens,Инопланетяне,Extraterrestres,Außerirdische,Extraterrestres,alieni
theme.5,Animals,Животные,Animaux,Tiere,Animales,Animali
theme.6,Ancient,Древность,Ancien,Alt,Antiguo,Antica
theme.7,Civilization,Цивилизация,Civilisation,Zivilisation,Civilización,Civiltà
theme.8,Dungeon,Подземелье,Donjon,Verlies,Calabozo,Dungeon
theme.9,Economy,Экономика,Économie,Wirtschaft,Economía,Economia
theme.10,Fantasy,Фантастика,Fantaisie,Fantasie,Fantasía,Fantasia
theme.11,Farming,Сельское хозяйство,Agriculture,Landwirtschaft,Agricultura,agricoltura
theme.12,History,История,Histoire,Geschichte,Historia,Storia
theme.13,Magic,Магия,la magie,Magie,magia,Magia
theme.14,Medieval,Средневековье,Médiéval,Mittelalterlich,Medieval,Medievale
theme.15,Apocalypse,Апокалипсис,apocalypse,Apokalypse,Apocalipsis,Apocalisse
theme.16,War,Война,Guerre,Krieg,Guerra,Guerra
theme.17,Zombies,Зомби,Des morts-vivants,Zombies,Zombis,zombi
theme.18,Steampunk,Стимпанк,Steampunk,Steampunk,Steampunk,Steampunk
theme.19,Politics,Политика,Politique,Politik,Política,Politica
theme.20,Game develop,Разработка игр,Jeu développer,Spiel entwickeln,Desarrollo del juego,Sviluppo del gioco
theme.21,Ghosts,Призраки,Des fantômes,Geister,Fantasmas,fantasmi
theme.22,Super Hero,Супергерой,Super-héros,Superheld,Superhéroe,Supereroe
theme.23,Pirates,Пираты,pirates,Piraten,Piratas,pirati
theme.24,Mafia,Мафия,Mafia,Mafia,Mafia,Mafia
theme.25,Cooking,Готовка,Cuisson,Kochen,Cocinando,cucinando
theme.26,Science fiction,Научная фантастика,Science fiction,Science-Fiction,Ciencia ficción,Fantascienza
theme.27,Music,Музыка,Musique,Musik,Música,Musica
theme.28,Medicine,Медицина,Médicament,Medizin,Medicamento,Medicinale
theme.29,Erotic,Эротика,Érotique,Erotisch,Erótico,Erotico
theme.30,City,Город,Ville,Stadt,Ciudad,Città
theme.31,Dragons,Драконы,Dragons,Drachen,Dragones,draghi
theme.32,Cyberpunk,Киберпанк,Cyberpunk,Cyberpunk,Cyberpunk,Cyberpunk
theme.33,Time Traveling,Путешествие во времени,Voyage dans le temps,Zeitreisen,Viaje en el tiempo,Viaggio nel tempo
genre.0,Action,Экшен,Action,Aktion,Acción,Azione
genre.1,Rpg,Rpg,RPG,Rollenspiel,Rol,RPG
genre.2,Simulator,Симулятор,Simulateur,Simulator,Simulador,Simulatore
genre.3,Strategy,Стратегия,Stratégie,Strategie,Estrategia,Strategia
genre.4,Racing,Гонки,Courses,Rennen,Carreras,Da corsa
genre.5,Casual,Казуал,Occasionnel,Lässig,Casual,Casuale
genre.6,Adventure,Приключение,Aventure,Abenteuer,Aventura,Avventura
genre.7,Visual novel,Визуальная новелла,Roman visuel,Visual Novel,Novela visual,Racconto illustrato
genre.8,Interactive movie,Интерактивный фильм,Film interactif,Interaktiver Film,Película interactiva,Film interattivo
genre.9,Horror,Ужастик,Horreur,Grusel,Horror,Orrore
indie,Indie,Инди,Indie,Indie,Indie,Indie
